timestamp,filter,x,y,theta,P_xx,P_yy,P_tt
1299.430000,EKF,0.000000,0.000000,-0.000751,1.280056,1.280056,0.027017
1299.430000,Odom,-0.001645,-0.000252,0.000453,0.000010,0.000010,1000000000000.000000
1299.440000,KF,-0.000234,-0.001257,0.000453,0.145115,0.145115,0.000000
1299.440000,EKF,0.000000,0.000000,0.001568,1.290058,1.290058,0.027017
1299.450000,EKF,0.000000,0.000000,-0.002835,1.300060,1.300060,0.027017
1299.450000,KF,-0.000240,-0.001230,0.000400,0.148270,0.148270,0.000000
1299.460000,EKF,0.000000,0.000000,0.005568,1.310062,1.310062,0.027017
1299.460000,KF,-0.000246,-0.001206,0.000352,0.151475,0.151475,0.000000
1299.460000,Odom,-0.001667,-0.000024,0.000169,0.000010,0.000010,1000000000000.000000
1299.470000,EKF,0.000000,0.000000,0.008344,1.320064,1.320064,0.027017
1299.470000,KF,-0.000252,-0.001181,0.000169,0.154731,0.154731,0.000000
1299.480000,EKF,0.000000,0.000000,0.004983,1.330066,1.330066,0.027017
1299.480000,KF,-0.000312,-0.001084,0.000807,0.158038,0.158038,0.000000
1299.490000,EKF,0.000000,0.000000,0.007578,1.340068,1.340068,0.027017
1299.490000,KF,-0.000379,-0.001223,0.000894,0.161397,0.161397,0.000000
1299.490000,Odom,-0.001727,-0.000268,0.000940,0.000010,0.000010,1000000000000.000000
1299.500000,EKF,0.000000,0.000000,0.012367,1.350070,1.350070,0.027017
1299.500000,KF,-0.000399,-0.001312,0.000940,0.164810,0.164810,0.000000
1299.510000,KF,-0.000409,-0.001417,0.001002,0.168278,0.168278,0.000000
1299.510000,EKF,0.000000,0.000000,0.009595,1.360072,1.360072,0.027017
1299.520000,KF,-0.000410,-0.001539,0.001075,0.171801,0.171801,0.000000
1299.520000,EKF,0.000000,0.000000,0.005809,1.370074,1.370074,0.027017
1299.530000,KF,-0.000408,-0.001673,0.001144,0.175380,0.175380,0.000000
1299.530000,EKF,0.000000,0.000000,0.010821,1.380076,1.380076,0.027017
1299.530000,Odom,-0.001649,-0.000663,0.001206,0.000010,0.000010,1000000000000.000000
1299.540000,KF,-0.000402,-0.001811,0.001206,0.179017,0.179017,0.000000
1299.540000,EKF,0.000000,0.000000,0.001169,1.390078,1.390078,0.027017
1299.550000,EKF,0.000000,0.000000,0.000537,1.400080,1.400080,0.027017
1299.550000,KF,-0.000389,-0.001947,0.001270,0.182713,0.182713,0.000000
1299.560000,EKF,0.000000,0.000000,-0.001740,1.410082,1.410082,0.027017
1299.560000,KF,-0.000375,-0.002075,0.001338,0.186468,0.186468,0.000000
1299.560000,Odom,-0.001570,-0.000921,0.001410,0.000010,0.000010,1000000000000.000000
