timestamp,filter,x,y,theta,P_xx,P_yy,P_tt
1302.880000,EKF,0.000000,0.000000,0.009977,1.039066,1.039066,0.002188
1302.890000,EKF,0.000000,0.000000,0.011107,1.039168,1.039168,0.002188
1302.890000,KF,0.000000,0.000000,0.005249,1.800967,1.800967,1.800967
1302.890000,Odom,0.002533,-0.001479,0.012060,0.000010,0.000010,1000000000000.000000
1302.900000,KF,0.000000,0.000000,0.006535,1.810232,1.810232,1.810232
1302.900000,EKF,0.000000,0.000000,0.010805,1.039270,1.039270,0.002188
1302.910000,KF,0.000000,0.000000,0.007150,1.819524,1.819524,1.819524
1302.910000,EKF,0.000000,0.000000,0.012665,1.039372,1.039372,0.002188
1302.920000,KF,0.000000,0.000000,0.007385,1.828844,1.828844,1.828844
1302.920000,EKF,0.000000,0.000000,0.012323,1.039474,1.039474,0.002188
1302.930000,KF,0.000000,0.000000,0.007536,1.838191,1.838191,1.838191
1302.930000,EKF,0.000000,0.000000,0.012567,1.039576,1.039576,0.002188
1302.930000,Odom,0.002583,-0.001570,0.012446,0.000010,0.000010,1000000000000.000000
1302.940000,KF,0.000000,0.000000,0.006932,1.847567,1.847567,1.847567
1302.940000,EKF,0.000000,0.000000,0.011933,1.039678,1.039678,0.002188
1302.950000,KF,0.000000,0.000000,0.007412,1.856970,1.856970,1.856970
1302.950000,EKF,0.000000,0.000000,0.011480,1.039780,1.039780,0.002188
1302.960000,KF,0.000000,0.000000,0.007679,1.866401,1.866401,1.866401
1302.960000,EKF,0.000000,0.000000,0.011713,1.039882,1.039882,0.002188
1302.960000,Odom,0.002605,-0.001479,0.012470,0.000010,0.000010,1000000000000.000000
1302.970000,EKF,0.000000,0.000000,0.012516,1.039984,1.039984,0.002188
1302.970000,KF,0.000000,0.000000,0.008300,1.875860,1.875860,1.875860
1302.980000,KF,0.000000,0.000000,0.008989,1.885347,1.885347,1.885347
1302.980000,EKF,0.000000,0.000000,0.013230,1.040086,1.040086,0.002188
1302.990000,KF,0.000000,0.000000,0.008146,1.894861,1.894861,1.894861
1302.990000,EKF,0.000000,0.000000,0.014819,1.040188,1.040188,0.002188
1302.990000,Odom,0.002634,-0.001329,0.012682,0.000010,0.000010,1000000000000.000000
1303.000000,KF,0.000000,0.000000,0.008397,1.904403,1.904403,1.904403
1303.000000,EKF,0.000000,0.000000,0.013528,1.040290,1.040290,0.002188
1303.000000,PF,-7.403475,-0.856816,-1.781621,0.000000,0.000000,0.000000
1303.010000,KF,0.000000,0.000000,0.007553,1.913974,1.913974,1.913974
1303.010000,EKF,0.000000,0.000000,0.013202,1.040392,1.040392,0.002188
1303.020000,KF,0.000000,0.000000,0.007311,1.923572,1.923572,1.923572
1303.020000,EKF,0.000000,0.000000,0.013626,1.040494,1.040494,0.002188
1303.030000,KF,0.000000,0.000000,0.007485,1.933198,1.933198,1.933198
1303.030000,EKF,0.000000,0.000000,0.013501,1.040596,1.040596,0.002188
1303.030000,Odom,0.002716,-0.001057,0.012496,0.000010,0.000010,1000000000000.000000
1303.040000,KF,0.000000,0.000000,0.006416,1.942852,1.942852,1.942852
1303.040000,EKF,0.000000,0.000000,0.013982,1.040698,1.040698,0.002188
1303.050000,KF,0.000000,0.000000,0.005621,1.952534,1.952534,1.952534
1303.050000,EKF,0.000000,0.000000,0.013265,1.040800,1.040800,0.002188
1303.060000,KF,0.000000,0.000000,0.005834,1.962244,1.962244,1.962244
1303.060000,EKF,0.000000,0.000000,0.013235,1.040902,1.040902,0.002188
1303.060000,Odom,0.002777,-0.000860,0.012302,0.000010,0.000010,1000000000000.000000
1303.070000,KF,0.000000,0.000000,0.006002,1.971982,1.971982,1.971982
1303.070000,EKF,0.000000,0.000000,0.013595,1.041004,1.041004,0.002188
1303.080000,KF,0.000000,0.000000,0.005728,1.981748,1.981748,1.981748
1303.080000,EKF,0.000000,0.000000,0.013486,1.041106,1.041106,0.002188
1303.090000,KF,0.000000,0.000000,0.006426,1.991542,1.991542,1.991542
1303.090000,EKF,0.000000,0.000000,0.012427,1.041208,1.041208,0.002188
1303.090000,Odom,0.002835,-0.000716,0.012159,0.000010,0.000010,1000000000000.000000
1303.100000,KF,0.000000,0.000000,0.006918,2.001364,2.001364,2.001364
1303.100000,EKF,0.000000,0.000000,0.011469,1.041310,1.041310,0.002188
1303.110000,KF,0.000000,0.000000,0.006629,2.011215,2.011215,2.011215
1303.110000,EKF,0.000000,0.000000,0.011488,1.041412,1.041412,0.002188
1303.120000,KF,0.000000,0.000000,0.007579,2.021093,2.021093,2.021093
1303.120000,EKF,0.000000,0.000000,0.010611,1.041514,1.041514,0.002188
1303.130000,EKF,0.000000,0.000000,0.012036,1.041616,1.041616,0.002188
1303.130000,KF,0.000000,0.000000,0.007360,2.030999,2.030999,2.030999
1303.130000,Odom,0.002908,-0.000566,0.012118,0.000010,0.000010,1000000000000.000000
1303.140000,KF,0.000000,0.000000,0.007427,2.040934,2.040934,2.040934
1303.140000,EKF,0.000000,0.000000,0.012873,1.041718,1.041718,0.002188
1303.150000,KF,0.000000,0.000000,0.007001,2.050897,2.050897,2.050897
1303.150000,EKF,0.000000,0.000000,0.013216,1.041820,1.041820,0.002188
1303.160000,KF,0.000000,0.000000,0.006738,2.060888,2.060888,2.060888
1303.160000,EKF,0.000000,0.000000,0.012965,1.041922,1.041922,0.002188
1303.160000,Odom,0.002970,-0.000549,0.012194,0.000010,0.000010,1000000000000.000000
1303.170000,KF,0.000000,0.000000,0.006885,2.070907,2.070907,2.070907
1303.170000,EKF,0.000000,0.000000,0.012250,1.042024,1.042024,0.002188
1303.180000,KF,0.000000,0.000000,0.007340,2.080955,2.080955,2.080955
1303.180000,EKF,0.000000,0.000000,0.012775,1.042126,1.042126,0.002188
1303.190000,KF,0.000000,0.000000,0.007663,2.091030,2.091030,2.091030
1303.190000,EKF,0.000000,0.000000,0.014167,1.042228,1.042228,0.002188
1303.190000,Odom,0.003037,-0.000553,0.012154,0.000010,0.000010,1000000000000.000000
1303.200000,EKF,0.000000,0.000000,0.013789,1.042330,1.042330,0.002188
1303.200000,PF,-7.385477,-0.868509,-1.797563,0.000000,0.000000,0.000000
1303.200000,KF,0.000000,0.000000,0.008540,2.101134,2.101134,2.101134
1303.210000,KF,0.000000,0.000000,0.007827,2.111266,2.111266,2.111266
1303.210000,EKF,0.000000,0.000000,0.013410,1.042432,1.042432,0.002188
1303.220000,KF,0.000000,0.000000,0.007644,2.121427,2.121427,2.121427
1303.220000,EKF,0.000000,0.000000,0.013972,1.042534,1.042534,0.002188
1303.230000,KF,0.000000,0.000000,0.007147,2.131616,2.131616,2.131616
1303.230000,EKF,0.000000,0.000000,0.014140,1.042636,1.042636,0.002188
1303.230000,Odom,0.003126,-0.000567,0.012002,0.000010,0.000010,1000000000000.000000
1303.240000,KF,0.000000,0.000000,0.006698,2.141833,2.141833,2.141833
1303.240000,EKF,0.000000,0.000000,0.015132,1.042738,1.042738,0.002188
1303.250000,KF,0.000000,0.000000,0.006935,2.152079,2.152079,2.152079
1303.250000,EKF,0.000000,0.000000,0.014057,1.042840,1.042840,0.002188
1303.260000,KF,0.000000,0.000000,0.006876,2.162353,2.162353,2.162353
1303.260000,EKF,0.000000,0.000000,0.013330,1.042942,1.042942,0.002188
1303.260000,Odom,0.003189,-0.000580,0.011865,0.000010,0.000010,1000000000000.000000
1303.270000,KF,0.000000,0.000000,0.007165,2.172655,2.172655,2.172655
1303.270000,EKF,0.000000,0.000000,0.014011,1.043044,1.043044,0.002188
1303.280000,KF,0.000000,0.000000,0.006784,2.182986,2.182986,2.182986
1303.280000,EKF,0.000000,0.000000,0.013279,1.043146,1.043146,0.002188
1303.290000,KF,0.000000,0.000000,0.006779,2.193345,2.193345,2.193345
1303.290000,EKF,0.000000,0.000000,0.013611,1.043248,1.043248,0.002188
1303.290000,Odom,0.003250,-0.000594,0.011727,0.000010,0.000010,1000000000000.000000
1303.300000,KF,0.000000,0.000000,0.006996,2.203733,2.203733,2.203733
1303.300000,EKF,0.000000,0.000000,0.013173,1.043350,1.043350,0.002188
1303.310000,KF,0.000000,0.000000,0.006953,2.214149,2.214149,2.214149
